symbol,type,n_snapshots,first_snapshot,vol24h_median_30d,vol24h_p10_30d,vol24h_median_90d,days_vol_below_1m_30d,oi_usd_median_30d,impact_half_spread_bps_snapshot,fixture_vol24h,price_obs_total,price_obs_insession,insession_days,first_price_obs,max_leverage,sz_decimals,growth_mode,only_isolated,oi_cap,last_mid,est_cost_bps_per_side_150usd,min_order_units_ok,eligible,selected
xyz:SNDK,stock,139,2026-05-01,123935559.155,27027170.835,175997243.86,0,133116025.457,0.32876352040022494,164541044.2219002,12138,2299,92,2026-05-01,10,3,enabled,,500000000.0,1765.25,2.228763520400225,True,True,True
xyz:MU,stock,139,2026-05-01,79647545.625,19706819.964,142423376.915,0,143496832.60979998,0.34779017384055194,75171694.84290995,12138,2299,92,2026-05-01,10,3,enabled,,500000000.0,1057.25,2.247790173840552,True,True,True
xyz:NVDA,stock,139,2026-05-01,46057211.735,10710626.531000001,43295415.22,0,131605830.85362001,0.6690506402121666,56155929.21388002,12138,2299,92,2026-05-01,20,3,enabled,,500000000.0,222.125,2.5690506402121667,True,True,True
xyz:CRCL,stock,139,2026-05-01,37496851.535,9946692.993,27166049.595,0,67341862.61588001,1.4811945264163209,30074938.857169997,12138,2299,92,2026-05-01,10,3,enabled,True,150000000.0,92.255,3.381194526416321,True,True,False
xyz:META,stock,139,2026-05-01,23147553.665,3147093.791,21377395.835,0,47983360.3963,0.8265829062657358,25206465.614620015,12138,2299,92,2026-05-01,20,3,enabled,,200000000.0,767.29,2.726582906265736,True,True,True
xyz:INTC,stock,139,2026-05-01,22442843.73,6964083.322000001,33888547.985,0,68930715.15759999,0.9590792838876666,21277347.87598,12138,2299,92,2026-05-01,10,2,enabled,True,350000000.0,122.575,2.8590792838876666,True,True,False
xyz:GOOGL,stock,139,2026-05-01,21143073.925,4652362.781,20429098.82,0,98119568.58677998,0.6834356010517816,23483880.050920002,12138,2299,92,2026-05-01,20,3,enabled,,350000000.0,339.015,2.5834356010517814,True,True,True
xyz:HOOD,stock,139,2026-05-01,18975588.445,5780227.008,7503077.57,0,50864397.96824,1.1249144086861065,31993958.39868,12138,2299,92,2026-05-01,10,3,enabled,True,150000000.0,120.685,3.0249144086861066,True,True,False
xyz:SOXL,etf,50,2026-08-06,18414013.6,3041495.457,15996208.67,0,9156933.082600001,2.3852850046724146,22996881.971499983,4717,903,36,2026-08-06,10,2,enabled,True,50000000.0,139.18,4.2852850046724145,True,False,False
xyz:TSLA,stock,139,2026-05-01,17112839.61,4621168.321,19663666.77,0,43120842.259619996,0.6471308189017383,28059545.68318,12138,2299,92,2026-05-01,20,3,enabled,,100000000.0,376.955,2.5471308189017385,True,True,False
xyz:EWY,etf,139,2026-05-01,15499843.715,4975567.291,24407372.32,0,8632570.354759999,0.7449216399739409,30625604.518239997,12138,2299,92,2026-05-01,20,3,enabled,True,100000000.0,182.735,2.644921639973941,True,True,False
xyz:AAPL,stock,139,2026-05-01,14488822.344999999,3127260.805,15728450.364999998,0,83155647.51008001,1.140198147948603,42816275.74019998,12138,2299,92,2026-05-01,20,3,enabled,,200000000.0,336.365,3.040198147948603,True,True,False
xyz:MSTR,stock,139,2026-05-01,14336637.085,3975769.041,14218168.835,0,43489525.86428,2.2844089091946396,14873321.869459998,12138,2299,92,2026-05-01,10,3,,True,150000000.0,161.845,4.184408909194639,True,True,False
xyz:NBIS,stock,109,2026-06-06,12817966.629999999,2790283.2640000004,15649680.54,1,50905439.1783,1.9350699345567024,13494720.821999999,10068,1906,77,2026-06-05,10,2,enabled,True,150000000.0,240.405,3.8350699345567025,True,False,False
