symbol,bid,ask,mid,spread_bps,top_depth_usd,slip1k_bps,slip10k_bps,slip50k_bps
BTC,63948.0,63949.0,63948.5,0.1563758336786632,309508.32,0.0781879168393316,0.0781879168393316,0.0781879168393316
ETH,1837.4,1837.5,1837.45,0.5442324961218484,4123.49308,0.2721162480596868,0.2721162480609242,0.2721162480621616
ATOM,1.5143,1.5151,1.5147,5.281573909024308,499.998151,2.9708756512724883,9.625943411715522,
DYDX,0.12498,0.12502,0.125,3.1999999999998696,23.946168,2.096598709520059,7.817595676831157,16.498831440179273
SOL,75.041,75.042,75.0415,0.1332595963573189,56.28075,0.0666297981786594,0.6842449278516486,0.8297983570145849
AVAX,6.5842,6.5843,6.58425,0.1518775866647939,85.331232,0.0759387933323969,0.6790019374402009,3.0443463061869367
BNB,565.76,565.83,565.7950000000001,1.2371972180745678,500.13184,0.6185986090362793,0.8639641881696752,1.7623173088818234
APE,0.14605,0.14612,0.146085,4.791730841632387,500.002175,2.916470783743917,8.270929630807696,19.06122690208333
OP,0.09632,0.09637,0.096345,5.189682910373604,499.996471,3.7279230763701583,9.033014545143423,14.055794836550636
LTC,44.913,44.918,44.9155,1.113201456068074,499.88169,0.5771293554642073,2.202860900764096,4.28611245067688
ARB,0.08913,0.08914,0.0891349999999999,1.1218937566608094,279.226464,0.5609468783311831,0.932770677191794,2.3546284333761784
DOGE,0.07238,0.072382,0.072381,0.2763156076873765,300.0151,0.1381578038436882,0.3331055087493147,1.5215510609368763
INJ,5.038,5.04,5.039,3.969041476482992,303.28760000000005,2.02684117307681,2.3361543124562067,6.53518299313066
SUI,0.73828,0.73841,0.738345,1.7606945262710991,299.963164,0.9213466033421742,1.9611544791486852,5.19954308838943
kPEPE,0.002743,0.002745,0.002744,7.288629737608717,7382.7324,3.6443148688051488,4.597873130435247,8.113849889712204
CRV,0.21414,0.21418,0.21416,1.8677624206206689,26.382048,1.1671745479316995,3.960061024807208,
LDO,0.38027,0.38049,0.38038,5.783689994216257,375.250436,2.912369430135536,7.493534253962611,
LINK,8.2168,8.2184,8.217600000000001,1.9470404984443144,500.40312,0.9735202492210764,1.0778084049866723,2.050797493513401
STX,0.16525,0.16543,0.16534,10.886657796055747,573.434025,5.443328898028714,10.581502391852643,27.076117216175323
CFX,0.046485,0.046504,0.0464944999999999,4.086504855412616,499.99266,2.3897733799914582,10.129821880416785,60.25610276399373
GMX,6.1003,6.1048,6.10255,7.373966620511378,340.586792,5.187749695925188,16.09632377706753,
SNX,0.2232,0.22331,0.223255,4.927101296723432,330.27549,4.877366841293363,13.681055208856373,
XRP,1.0893,1.0894,1.08935,0.9179786110982604,500.0346,0.917925783852462,1.331061807072218,1.782155156648529
BCH,218.99,219.02,219.005,1.3698317390014445,499.95417,0.6849158695013712,2.0861648473720398,5.803367736034851
APT,0.6114,0.6116,0.6115,3.270645952575273,919.998036,1.6353229762876365,6.950898698561719,18.855452072603303
AAVE,90.649,90.672,90.6605,2.536937254923162,1342.85232,1.268468627461581,2.464125434528341,
COMP,17.236,17.245,17.2405,5.22026623357811,499.93255,2.9001786221202366,14.631341671342872,
WLD,0.38024,0.38031,0.380275,1.8407731247113004,300.026559,1.6829015737030095,3.580522558467928,
YGG,0.021555,0.021578,0.0215665,10.664688289707978,499.98978000000005,5.564177311289796,7.518974351916149,20.97003969818928
TRX,0.32252,0.32253,0.3225249999999999,0.3100534842263391,499.9215,0.3100754201696557,2.3367458811223623,4.910694283385915
kSHIB,0.004143,0.004144,0.0041435,2.413418607457784,99.783376,3.379256542069205,6.151266848944074,11.049998350296166
UNI,3.5574,3.5577,3.55755,0.8432769743227474,1340.18559,0.4216384871613737,2.895808043318587,
SEI,0.047164,0.047179,0.0471715,3.179886160075708,463.008988,1.98985452603197,5.288027900829481,
RUNE,0.4289,0.42915,0.429025,5.827166249052444,302.3745,6.230510278336809,17.58621255690983,
ZRO,0.78409,0.7843,0.784195,2.6779053679256246,424.97678,1.709501063551784,7.692078666188581,
DOT,0.84898,0.8495,0.84924,6.123121850125711,425.084286,3.0797226066152787,4.8021952901868,10.243559500866084
BANANA,3.4016,3.4029,3.40225,3.8210008082875593,340.16,4.155346537585615,28.468242186908498,
TRB,14.783,14.798,14.7905,10.1416449748153,795.6210599999999,6.093828760286539,21.749647333360024,
BIGTIME,0.006796,0.006802,0.0067989999999999,8.824827180467611,500.001416,5.382802152242304,13.154276785203932,23.08305605393035
KAS,0.027889,0.027898,0.0278935,3.226558158710306,499.987956,1.7925400463510488,12.69115994723849,22.60407583911247
BLUR,0.015831,0.015839,0.015835,5.052099778969114,500.005552,3.063722674503762,12.97119275696971,23.21469041909865
TIA,0.38412,0.38421,0.384165,2.3427433524651904,500.00900400000006,1.3664460861102803,5.585404443138576,
BSV,13.313,13.325,13.319,9.009685411816712,499.954,5.833633699808256,15.009603802791863,
ADA,0.16524,0.16526,0.16525,1.2102874432673068,5503.48344,0.6051437216328136,0.6656211915399239,3.147152147589064
MINA,0.04469,0.044702,0.044696,2.6848040093069003,499.99172,2.147738065781123,15.850820057888996,
POLYX,0.036038,0.036074,0.036056,9.984468604393529,499.9856400000001,5.130909537911765,23.183297052273367,
GAS,1.0318,1.0323,1.03205,4.844726515187685,50.0423,3.812049273269396,25.266034650409296,
PENDLE,1.5386,1.5389,1.5387499999999998,1.9496344435416213,433.8852,1.6582417319100686,6.925861421366122,
FET,0.15977,0.15978,0.159775,0.625880143953059,183.09642,0.6259006314973338,4.9096188845281645,9.414090674609016
NEAR,1.921,1.9217,1.92135,3.643271657948437,1087.29786,1.8216358289736403,3.8341945806346938,7.167360477322107
MEME,0.000536,0.000537,0.0005365,18.63932898415702,3977.092664,9.3196644920775,12.22799211303582,49.44666367439089
ORDI,3.631,3.6325,3.63175,4.130240242307584,824.99951,2.0769443048214216,11.448518458795174,30.62159618765145
NEO,1.9531,1.9535,1.9533,2.047816515639973,54.698,3.18765270320033,16.322329714136774,
ZEN,4.1921,4.1948,4.19345,6.43861259821847,480.51434,3.6432618413110487,13.766364891641768,
FIL,0.76458,0.76459,0.7645850000000001,0.1307899056344878,500.03532,0.1263834924120398,1.9527798120828257,
PYTH,0.048712,0.048713,0.0487125,0.2052861175265075,250.13612,0.2052870692243847,8.388024554607863,
SUSHI,0.16105,0.16121,0.16113,9.92987029106892,499.992815,5.385427165326495,15.634614947984238,
IMX,0.1288,0.12889,0.128845,6.985137180333481,500.0016,4.059087120148099,13.835445186881984,77.23533712318164
kBONK,0.003211,0.003214,0.0032125,9.3385214007781,424.084086,6.461758544736618,9.569256264717314,14.046169848009084
GMT,0.007416,0.007418,0.007417,2.696508022111724,500.002872,2.1962761437664304,15.928015623815218,33.801566260508835
SUPER,0.084369,0.084466,0.0844175,11.49050848461514,478.625337,5.804478730149155,21.93581166023187,
JUP,0.19757,0.19763,0.1976,3.03643724696379,500.0039,1.7712466854350075,6.532354491099426,
