commit,commit_time,n_records,obs_min,obs_max,window_hours
3e97d4116d6381269ea43d2dc7c3346ceb4e278c,2026-05-01 22:09:18+09:00,2,2026-05-01 10:15:00+00:00,2026-05-01 13:00:00+00:00,2.75
82ad0e6694b0fb6398c85d671293b3e96ba94951,2026-05-01 15:00:40+00:00,10,2026-05-01 10:15:00+00:00,2026-05-01 15:00:00+00:00,4.75
ce9e3d63c29b635977b781f786fa77ffb869cc08,2026-05-01 19:57:35+00:00,14,2026-05-01 10:15:00+00:00,2026-05-01 19:45:00+00:00,9.5
502206db704f45e206c3e7d76bec1a04f865cd35,2026-05-02 04:30:48+00:00,41,2026-05-01 10:15:00+00:00,2026-05-02 04:30:00+00:00,18.25
bc04ac24f8b5739e99f77c7972b2558ebe0b2420,2026-05-02 22:00:46+00:00,111,2026-05-01 10:15:00+00:00,2026-05-02 22:00:00+00:00,35.75
9a3bc5d8eaccd44fda0ca6624c9422c02092ba61,2026-05-04 08:45:54+00:00,250,2026-05-01 10:15:00+00:00,2026-05-04 08:45:00+00:00,70.5
a2b1f4ca982ee62933a9784498128d8f89020f17,2026-05-07 06:22:53+00:00,525,2026-05-01 10:15:00+00:00,2026-05-07 06:15:00+00:00,140.0
40fea731c3e73649089a02303d1f74f0234c044f,2026-05-17 16:31:31+09:00,672,2026-05-03 14:45:00+00:00,2026-05-17 07:15:00+00:00,328.5
808e1219fb66c1bebe5a299b742a7186c7ade3ba,2026-05-30 23:08:16+00:00,672,2026-05-23 20:45:00+00:00,2026-05-30 23:00:00+00:00,170.25
923f6c7a06631f085649ba2edb4ea8697f77cf1e,2026-06-07 00:38:06+00:00,672,2026-05-31 00:45:00+00:00,2026-06-07 00:30:00+00:00,167.75
01049d347564094538656d8751c8fd8422f93bd6,2026-06-13 23:23:16+00:00,672,2026-06-06 23:15:00+00:00,2026-06-13 23:15:00+00:00,168.0
7e45abfe3d8ca41a1bb5e7377bc484730326b4f5,2026-06-20 22:38:13+00:00,672,2026-06-11 01:00:00+00:00,2026-06-20 22:30:00+00:00,237.5
3266b6706ff0d3a01fbb3af6ff6137c4d2ab63f8,2026-06-30 19:08:28+00:00,672,2026-06-23 19:15:00+00:00,2026-06-30 19:00:00+00:00,167.75
30b80c3644e1ee66c44866e9107f33adaff8473e,2026-07-07 17:53:42+00:00,672,2026-06-30 18:00:00+00:00,2026-07-07 17:45:00+00:00,167.75
fd29b1af824adc5997528a4c98c25c872c44df36,2026-07-14 16:53:29+00:00,672,2026-07-07 13:15:00+00:00,2026-07-14 16:45:00+00:00,171.5
5d148c70f81682670fc5708328f2f39011368184,2026-07-21 19:23:35+00:00,672,2026-07-14 18:15:00+00:00,2026-07-21 19:15:00+00:00,169.0
6602ab9f35b9e461595476d289782b8514988cbb,2026-07-28 19:23:37+00:00,672,2026-07-21 18:45:00+00:00,2026-07-28 19:15:00+00:00,168.5
6e8883b657a338fdfe0067c2f26bb185d29e8109,2026-08-04 18:53:55+00:00,672,2026-07-28 18:45:00+00:00,2026-08-04 18:45:00+00:00,168.0
b12691eba337c847e9c7ea4616f94496d976facd,2026-08-11 18:08:52+00:00,672,2026-08-04 12:00:00+00:00,2026-08-11 18:00:00+00:00,174.0
e33f6c217a2c99d1d10eae1714d0d7d42e548d3b,2026-08-18 23:23:39+00:00,672,2026-08-11 23:00:00+00:00,2026-08-18 23:15:00+00:00,168.25
f6a345aa12a78d0f7f61d58e651e7ee2f17b3482,2026-08-25 22:39:04+00:00,672,2026-08-18 22:45:00+00:00,2026-08-25 22:30:00+00:00,167.75
eea8d247c33f149e6eda1376e5675f6d3b6f4525,2026-09-01 21:39:04+00:00,672,2026-08-25 20:45:00+00:00,2026-09-01 21:30:00+00:00,168.75
c9189bb13e7f2460e3ab072f5330a8ae81910f96,2026-09-08 21:24:10+00:00,672,2026-09-01 21:30:00+00:00,2026-09-08 21:15:00+00:00,167.75
63cf186770d1b9b7bb99685f4ba02f2ecea31990,2026-09-15 20:09:36+00:00,672,2026-09-08 19:15:00+00:00,2026-09-15 20:00:00+00:00,168.75
20e0eefe5998f41766ba7199476bbe9b201906b1,2026-09-22 20:08:49+00:00,672,2026-09-15 20:15:00+00:00,2026-09-22 20:00:00+00:00,167.75
1da069d92084366106a726738b204d350466e576,2026-09-25 07:43:51+00:00,672,2026-09-18 07:45:00+00:00,2026-09-25 07:30:00+00:00,167.75
