config,f,candles_n,candles_stops,candles_net,sampled_n,sampled_stops,sampled_net
"channel_bo(atr_mult=1.5, n=12, tf=15m)",0.0,65,40,-13.66303003564633,55,29,-15.759580839464041
"channel_bo(atr_mult=1.5, n=12, tf=15m)",0.25,65,40,-13.66303003564633,60,36,-15.910754936555735
"channel_bo(atr_mult=1.5, n=12, tf=15m)",0.5,65,40,-13.66303003564633,60,37,-10.422867247678278
"channel_bo(atr_mult=1.5, n=12, tf=15m)",0.75,65,40,-13.66303003564633,65,44,-21.210185486843915
"channel_bo(atr_mult=1.5, n=12, tf=15m)",1.0,65,40,-13.66303003564633,69,52,-28.094792749081613
"channel_bo(atr_mult=1.5, n=24, tf=15m)",0.0,47,26,-8.298334426829777,43,15,1.1030591388876527
"channel_bo(atr_mult=1.5, n=24, tf=15m)",0.25,47,26,-8.298334426829777,47,19,0.5073118058484767
"channel_bo(atr_mult=1.5, n=24, tf=15m)",0.5,47,26,-8.298334426829777,47,20,0.4448938331863834
"channel_bo(atr_mult=1.5, n=24, tf=15m)",0.75,47,26,-8.298334426829777,50,25,-6.4515344988096
"channel_bo(atr_mult=1.5, n=24, tf=15m)",1.0,47,26,-8.298334426829777,54,32,-12.304930440481646
"orb(or_min=30, target_r=2.0)",0.0,63,30,-10.704109999807182,52,23,-17.401508327832925
"orb(or_min=30, target_r=2.0)",0.25,63,30,-10.704109999807182,52,28,-20.150774716979527
"orb(or_min=30, target_r=2.0)",0.5,63,30,-10.704109999807182,54,30,-21.02885201557015
"orb(or_min=30, target_r=2.0)",0.75,63,30,-10.704109999807182,57,36,-25.123479868736414
"orb(or_min=30, target_r=2.0)",1.0,63,30,-10.704109999807182,58,40,-29.425703417089025
"ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=15m)",0.0,17,7,-4.482625920325134,16,1,1.784465361271244
"ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=15m)",0.25,17,7,-4.482625920325134,16,1,1.784465361271244
"ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=15m)",0.5,17,7,-4.482625920325134,16,2,1.9456852125757838
"ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=15m)",0.75,17,7,-4.482625920325134,16,6,-4.181681310281311
"ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=15m)",1.0,17,7,-4.482625920325134,16,7,-4.886958923298126
"trend_pullback(defn=A, max_bars=16, target_r=2.0)",0.0,52,13,2.0762291621434583,41,9,-9.860417648303
"trend_pullback(defn=A, max_bars=16, target_r=2.0)",0.25,52,13,2.0762291621434583,41,10,-9.56012910744743
"trend_pullback(defn=A, max_bars=16, target_r=2.0)",0.5,52,13,2.0762291621434583,42,13,-10.590703173303119
"trend_pullback(defn=A, max_bars=16, target_r=2.0)",0.75,52,13,2.0762291621434583,45,18,-14.862986703612767
"trend_pullback(defn=A, max_bars=16, target_r=2.0)",1.0,52,13,2.0762291621434583,48,23,-18.764419855510617
