universe,family,config,regime,seconds,n_rejections,dev_n,dev_days,dev_net,dev_exp,dev_pf,dev_win,val_n,val_days,val_net,val_exp,val_exp_r,val_pf,val_win,val_ci95,val_p_le0,val_ex_best_trade,val_ex_best_day,val_windows_pos,val_windows_n,val_windows_with_trades,val_net_long,val_net_short,val_n_long,val_n_short,val_cost_share,val_maxdd,val_hold_min,devval_final_equity,devval_shadow_equity,devval_paused,devval_paused_at,devval_exposure,devval_acct_maxdd,trades_file,val_by_sym_net,val_syms_positive
crypto1h,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=False, slow=40, tf=1h)",base,1.1,0,22,21.0,-0.8940459435504219,-0.0406384519795646,0.8250597751049616,0.4090909090909091,15,13.0,-2.3614087068729117,-0.1574272471248607,-0.1574272471248607,0.5039056460034702,0.3333333333333333,"[-0.43354851887027435, 0.13827047499890485]",0.828,-3.21194640753735,-3.21194640753735,1,5,4,-0.0794192887351418,-2.281989418137769,7.0,8.0,0.4608554531084027,3.296145573727939,200.0,96.74454534957664,96.74454534957664,False,,0.0337276617165869,4.447145876761155,F1_ma_trend_70241473_base.parquet,"{'BTC': 0.62, 'ETH': -2.98}",1.0
crypto1h,F1,"F1:ma_trend(atr_mult=2.0, fast=10, filter=True, slow=40, tf=1h)",base,0.8,0,0,,0.0,,,,0,,0.0,,,,,,,,,0,5,0,,,,,,,,,,,,,,,,
crypto1h,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=False, slow=80, tf=1h)",base,0.8,0,13,13.0,-0.6243011280622304,-0.0480231636970946,0.826467630826386,0.5384615384615384,8,8.0,-1.1954251882857223,-0.1494281485357153,-0.1494281485357153,0.5453613850470688,0.375,"[-0.5290389037683819, 0.26642626994330704]",0.777,-2.0495597061281,-2.0495597061281,1,5,3,-0.1779145317271923,-1.0175106565585297,1.0,7.0,0.4306716265607525,2.230664814818049,247.5,98.18027368365206,98.18027368365206,False,,0.0206393153788069,2.371998671455387,F1_ma_trend_76124726_base.parquet,"{'BTC': -2.05, 'ETH': 0.86}",1.0
crypto1h,F1,"F1:ma_trend(atr_mult=2.0, fast=20, filter=True, slow=80, tf=1h)",base,0.7,0,0,,0.0,,,,0,,0.0,,,,,,,,,0,5,0,,,,,,,,,,,,,,,,
crypto1h,F2,"F2:bb_mr(k=2.0, max_bars=8, n=20, regime=False, tf=1h)",base,1.1,0,44,41.0,-3.9017303671128194,-0.0886756901616549,0.6167602917108216,0.4772727272727273,24,21.0,-3.307281997867295,-0.1378034165778039,-0.1378034165778039,0.509456045969992,0.5,"[-0.33480300328797163, 0.046657265673461755]",0.923,-3.9438156155388575,-4.143677044433275,2,5,5,-1.6765114113766295,-1.630770586490666,16.0,8.0,0.6999277873718488,3.307281997867295,147.5,92.79098763501987,92.79098763501987,False,,0.0430405235338535,8.466737835252346,F2_bb_mr_70878520_base.parquet,"{'BTC': -1.91, 'ETH': -1.4}",0.0
crypto1h,F2,"F2:bb_mr(k=2.0, max_bars=8, n=20, regime=True, tf=1h)",base,1.0,0,18,18.0,0.5127330094487106,0.028485167191595,1.1874038006753258,0.5555555555555556,14,12.0,-3.624854393123057,-0.2589181709373612,-0.2589181709373612,0.3981271701786863,0.5,"[-0.5900417898345722, 0.03516340472185281]",0.953,-4.2613880107946205,-4.461249439689037,1,5,4,-1.704549572138082,-1.9203048209849751,8.0,6.0,0.5790927516289001,4.461249439689037,120.0,96.88787861632564,96.88787861632564,False,,0.0178706267304304,5.912222193512434,F2_bb_mr_54187015_base.parquet,"{'BTC': -1.13, 'ETH': -2.49}",0.0
crypto1h,F2,"F2:bb_mr(k=2.5, max_bars=8, n=20, regime=False, tf=1h)",base,1.0,0,33,30.0,-3.945769810263226,-0.1195687821291886,0.6390375651544907,0.5151515151515151,17,16.0,-3.090576713493033,-0.1817986302054725,-0.1817986302054725,0.4617872181247272,0.3529411764705882,"[-0.42339798048264715, 0.04977094317391354]",0.926,-3.707539473013353,-3.690077221808661,0,5,4,-2.1885201813734865,-0.9020565321195472,10.0,7.0,0.7193891152929578,3.090576713493034,172.94117647058823,92.96365347624378,92.96365347624378,False,,0.0362446513969292,9.28121579931242,F2_bb_mr_53381942_base.parquet,"{'BTC': -3.26, 'ETH': 0.17}",1.0
crypto1h,F2,"F2:bb_mr(k=2.5, max_bars=8, n=20, regime=True, tf=1h)",base,1.1,0,13,13.0,1.7181178021229169,0.132162907855609,1.9668482596838583,0.6153846153846154,7,7.0,-1.3697674861915048,-0.1956810694559292,-0.1956810694559292,0.5178527500503136,0.4285714285714285,"[-0.6860059750720277, 0.2675624078710587]",0.788,-1.969267994507132,-1.969267994507132,0,5,2,0.0093172397844929,-1.3790847259759975,3.0,4.0,0.5061960675676913,1.8368535361960816,145.71428571428572,100.34835031593144,100.34835031593144,False,,0.0138434432418827,2.422317527879329,F2_bb_mr_65992075_base.parquet,"{'BTC': -1.83, 'ETH': 0.46}",1.0
crypto1h,F3,"F3:vol_comp_bo(pct=0.1, tf=1h, trail_atr=2.0)",base,1.1,0,11,11.0,0.963333753796819,0.0875757957997108,1.6878168750405915,0.6363636363636364,11,11.0,0.082233592132313,0.0074757811029375,0.0074757811029375,1.043840095997863,0.5454545454545454,"[-0.2917823792354341, 0.27182411715979754]",0.471,-0.5716220202494403,-0.5716220202494403,1,5,4,1.0222789268966284,-0.9400453347643152,5.0,6.0,0.3657937967429623,0.99760085992271,256.3636363636364,101.0455673459291,101.0455673459291,False,,0.0251698968034231,0.9976008599227127,F3_vol_comp_bo_36490428_base.parquet,"{'BTC': -0.67, 'ETH': 0.75}",1.0
crypto1h,F3,"F3:vol_comp_bo(pct=0.2, tf=1h, trail_atr=2.0)",base,1.1,0,15,14.0,-1.1972957530311314,-0.079819716868742,0.6664909004323654,0.4666666666666667,14,13.0,0.9136818444076528,0.0652629888862609,0.0652629888862609,1.3903032905841757,0.5,"[-0.22501771873527535, 0.393035661400004]",0.317,-0.3829577464179696,-0.3829577464179696,2,5,4,1.890698373319344,-0.977016528911691,7.0,7.0,0.2717807194821673,1.425821004325617,270.0,99.71638609137648,99.71638609137648,False,,0.0329725648124842,2.0259367649946824,F3_vol_comp_bo_83198970_base.parquet,"{'BTC': 0.59, 'ETH': 0.32}",2.0
