n,mean,median,stdev,share_losers,share_ge_5pct,p10,p90,max,min,split,horizon,group,first_trigger_only
283,0.008742800136850318,0.004747371990505345,0.09473643141765234,0.4558303886925795,0.22968197879858657,-0.08701151392235996,0.10427396279372847,0.4280215550423403,-0.3755294117647059,dev,5,A_positive,True
188,0.005788125054281276,0.009347039213482566,0.08338599524451454,0.43617021276595747,0.23404255319148937,-0.09199713971047174,0.08883320241042109,0.30582055053582713,-0.4263322884012539,dev,5,A_negative,True
471,0.007563439382024459,0.005607476635514086,0.09029722388076285,0.44798301486199577,0.23142250530785563,-0.09049150206706469,0.09304732336061727,0.4280215550423403,-0.4263322884012539,dev,5,A_all,True
3833,0.015662027001298873,0.010739676297080614,0.08484398255032845,0.40751369684320377,0.24628228541612315,-0.06863999348038768,0.0979423008570249,1.1248303934871098,-0.3425641025641025,dev,5,B_quiet,True
283,0.053522699874049465,0.03944424207732733,0.18639622508029288,0.38869257950530034,0.44876325088339225,-0.1417989044134486,0.259657139788411,1.1631408423861256,-0.44001351808043254,dev,20,A_positive,True
188,0.021358350673555525,0.004319311995964692,0.15352077247880247,0.4627659574468085,0.35106382978723405,-0.14783618422937653,0.18931862517326495,0.6723415754627751,-0.3557503130030405,dev,20,A_negative,True
471,0.040684275989351246,0.022327874625814426,0.1745625360023285,0.4182590233545648,0.40976645435244163,-0.1453726728946838,0.23004774897680758,1.1631408423861256,-0.44001351808043254,dev,20,A_all,True
3833,0.06015373839337712,0.03446752098983663,0.1974043039174012,0.3863814244716932,0.4591703626402296,-0.13147963529646686,0.27691516945229605,1.8151382823871907,-0.562857142857143,dev,20,B_quiet,True
283,0.15993947092419739,0.07607240053566011,0.45825347048081916,0.3462897526501767,0.568904593639576,-0.22558420327623638,0.5371010826310206,3.6231048473200937,-0.7227663995250816,dev,60,A_positive,True
188,0.15816419305768492,0.09439791623594751,0.3134607055818049,0.3191489361702128,0.601063829787234,-0.14226924335146146,0.5773218619463826,1.8472222222222223,-0.4640685737067676,dev,60,A_negative,True
471,0.15923086744457032,0.07874617737003042,0.4063157518561963,0.3354564755838641,0.5817409766454352,-0.19262491817586735,0.5762009581768743,3.6231048473200937,-0.7227663995250816,dev,60,A_all,True
3833,0.22026927409962943,0.1173215273934698,0.46882916383440787,0.2882859379076441,0.6230106965823115,-0.15301757330539106,0.707192761086292,5.350381336922387,-0.6082817705854355,dev,60,B_quiet,True
996,0.005538190942676061,0.008265027322404417,0.0930467068885009,0.4508032128514056,0.22690763052208834,-0.08580159830367445,0.09675419602102231,0.6095238095238094,-0.6295103092783505,dev,5,A_positive,False
779,0.014719719341141245,0.012968299711815456,0.09077608987749483,0.40949935815147626,0.3042362002567394,-0.08260606465620943,0.11617636126172058,0.5942760942760943,-0.4639639639639639,dev,5,A_negative,False
